pincode,city,state,latitude,longitude
342001,Jodhpur,Rajasthan,26.2389,73.0243
342002,Jodhpur,Rajasthan,26.2400,73.0300
342003,Jodhpur,Rajasthan,26.2300,73.0200
342005,Jodhpur,Rajasthan,26.2200,73.0100
342006,Jodhpur,Rajasthan,26.2100,73.0000
342008,Jodhpur,Rajasthan,26.2500,73.0400
344001,Barmer,Rajasthan,25.7452,71.3924
345001,Jaisalmer,Rajasthan,26.9157,70.9083
360001,Rajkot,Gujarat,22.3039,70.8022
360002,Rajkot,Gujarat,22.3100,70.8100
360005,Rajkot,Gujarat,22.2900,70.7900
361001,Jamnagar,Gujarat,22.4707,70.0577
361008,Jamnagar,Gujarat,22.4800,70.0600
362001,Junagadh,Gujarat,21.5222,70.4579
362002,Junagadh,Gujarat,21.5300,70.4600
363001,Surendranagar,Gujarat,22.7281,71.6493
364001,Bhavnagar,Gujarat,21.7645,72.1519
364002,Bhavnagar,Gujarat,21.7700,72.1600
370001,Kutch,Gujarat,23.2420,69.6669
380001,Ahmedabad,Gujarat,23.0225,72.5714
380002,Ahmedabad,Gujarat,23.0300,72.5800
380004,Ahmedabad,Gujarat,23.0100,72.5600
380005,Ahmedabad,Gujarat,23.0200,72.5500
380006,Ahmedabad,Gujarat,23.0400,72.5900
380007,Ahmedabad,Gujarat,23.0500,72.5400
380008,Ahmedabad,Gujarat,23.0000,72.5700
380009,Ahmedabad,Gujarat,23.0600,72.5300
380013,Ahmedabad,Gujarat,22.9900,72.6000
380015,Ahmedabad,Gujarat,23.0700,72.5200
380019,Ahmedabad,Gujarat,22.9800,72.6100
380024,Ahmedabad,Gujarat,22.9700,72.6200
380050,Ahmedabad,Gujarat,23.0800,72.5100
380051,Ahmedabad,Gujarat,23.0900,72.5000
380054,Ahmedabad,Gujarat,22.9600,72.5000
380055,Ahmedabad,Gujarat,22.9500,72.5200
380058,Ahmedabad,Gujarat,22.9400,72.5300
380059,Ahmedabad,Gujarat,22.9300,72.5400
382007,Gandhinagar,Gujarat,23.2156,72.6369
382010,Gandhinagar,Gujarat,23.2200,72.6400
382016,Gandhinagar,Gujarat,23.2100,72.6300
382020,Gandhinagar,Gujarat,23.2300,72.6500
382024,Gandhinagar,Gujarat,23.2400,72.6600
382028,Gandhinagar,Gujarat,23.2500,72.6200
382330,Ahmedabad,Gujarat,23.1000,72.4900
382345,Ahmedabad,Gujarat,23.1100,72.4800
382350,Ahmedabad,Gujarat,23.1200,72.4700
382405,Ahmedabad,Gujarat,23.1300,72.4600
382418,Ahmedabad,Gujarat,23.1400,72.4500
382424,Ahmedabad,Gujarat,23.1500,72.4400
382443,Ahmedabad,Gujarat,23.1600,72.4300
382481,Ahmedabad,Gujarat,23.1700,72.4200
388001,Anand,Gujarat,22.5645,72.9289
389001,Godhra,Gujarat,22.7772,73.6150
390001,Vadodara,Gujarat,22.3072,73.1812
390002,Vadodara,Gujarat,22.3100,73.1900
390004,Vadodara,Gujarat,22.3000,73.1700
390005,Vadodara,Gujarat,22.3200,73.2000
390006,Vadodara,Gujarat,22.2900,73.1600
390007,Vadodara,Gujarat,22.2800,73.1500
390010,Vadodara,Gujarat,22.3300,73.2100
390015,Vadodara,Gujarat,22.2700,73.1400
390018,Vadodara,Gujarat,22.2600,73.1300
390019,Vadodara,Gujarat,22.2500,73.1200
390020,Vadodara,Gujarat,22.3400,73.2200
390021,Vadodara,Gujarat,22.3500,73.2300
390022,Vadodara,Gujarat,22.3600,73.2400
390023,Vadodara,Gujarat,22.3700,73.2500
390024,Vadodara,Gujarat,22.2400,73.1100
395001,Surat,Gujarat,21.1702,72.8311
395002,Surat,Gujarat,21.1800,72.8400
395003,Surat,Gujarat,21.1600,72.8200
395004,Surat,Gujarat,21.1900,72.8500
395005,Surat,Gujarat,21.1500,72.8100
395006,Surat,Gujarat,21.2000,72.8600
395007,Surat,Gujarat,21.1400,72.8000
395009,Surat,Gujarat,21.2100,72.8700
395010,Surat,Gujarat,21.1300,72.7900
395017,Surat,Gujarat,21.2200,72.8800
396001,Valsad,Gujarat,20.5992,72.9342
400001,Mumbai,Maharashtra,18.9388,72.8354
400002,Mumbai,Maharashtra,18.9500,72.8400
400003,Mumbai,Maharashtra,18.9600,72.8300
400004,Mumbai,Maharashtra,18.9700,72.8200
400005,Mumbai,Maharashtra,18.9800,72.8100
400006,Mumbai,Maharashtra,18.9900,72.8000
400007,Mumbai,Maharashtra,19.0000,72.8500
400008,Mumbai,Maharashtra,18.9300,72.8300
400009,Mumbai,Maharashtra,18.9200,72.8400
400010,Mumbai,Maharashtra,18.9100,72.8500
400011,Mumbai,Maharashtra,19.0100,72.8400
400012,Mumbai,Maharashtra,19.0200,72.8300
400013,Mumbai,Maharashtra,19.0175,72.8400
400014,Mumbai,Maharashtra,19.0200,72.8500
400016,Mumbai,Maharashtra,19.0300,72.8400
400017,Mumbai,Maharashtra,19.0400,72.8300
400018,Mumbai,Maharashtra,19.0500,72.8200
400019,Mumbai,Maharashtra,19.0150,72.8300
400020,Mumbai,Maharashtra,19.0050,72.8100
400021,Mumbai,Maharashtra,18.9900,72.8300
400022,Mumbai,Maharashtra,19.0100,72.8100
400025,Mumbai,Maharashtra,19.0000,72.8100
400028,Mumbai,Maharashtra,19.0100,72.8200
400029,Mumbai,Maharashtra,19.0600,72.8400
400030,Mumbai,Maharashtra,19.0000,72.8200
400031,Mumbai,Maharashtra,19.0200,72.8100
400033,Mumbai,Maharashtra,19.0300,72.8300
400034,Mumbai,Maharashtra,19.0400,72.8500
400036,Mumbai,Maharashtra,18.9200,72.8300
400037,Mumbai,Maharashtra,19.0700,72.8700
400042,Mumbai,Maharashtra,19.0800,72.8800
400049,Mumbai,Maharashtra,19.0700,72.8500
400050,Mumbai,Maharashtra,19.0600,72.8300
400051,Mumbai,Maharashtra,19.0600,72.8200
400052,Mumbai,Maharashtra,19.0800,72.8400
400053,Mumbai,Maharashtra,19.0700,72.8300
400054,Mumbai,Maharashtra,19.0900,72.8500
400055,Mumbai,Maharashtra,19.0800,72.8300
400056,Mumbai,Maharashtra,19.0900,72.8400
400057,Mumbai,Maharashtra,19.1000,72.8500
400058,Mumbai,Maharashtra,19.1100,72.8600
400059,Mumbai,Maharashtra,19.1200,72.8700
400060,Mumbai,Maharashtra,19.0500,72.8400
400061,Mumbai,Maharashtra,19.1000,72.8300
400062,Mumbai,Maharashtra,19.0900,72.8600
400063,Mumbai,Maharashtra,19.1300,72.9100
400064,Mumbai,Maharashtra,19.1400,72.9200
400066,Mumbai,Maharashtra,19.1300,72.8900
400067,Mumbai,Maharashtra,19.1400,72.8700
400068,Mumbai,Maharashtra,19.1300,72.8800
400069,Mumbai,Maharashtra,19.1500,72.9400
400070,Mumbai,Maharashtra,19.0500,72.9000
400071,Mumbai,Maharashtra,19.0700,72.8900
400072,Mumbai,Maharashtra,19.0800,72.8900
400074,Mumbai,Maharashtra,19.0600,72.8800
400075,Mumbai,Maharashtra,19.0700,72.9000
400076,Mumbai,Maharashtra,19.0800,72.9000
400077,Mumbai,Maharashtra,19.0900,72.8700
400078,Mumbai,Maharashtra,19.1000,72.8700
400079,Mumbai,Maharashtra,19.0900,72.8900
400080,Mumbai,Maharashtra,19.0500,72.8800
400086,Mumbai,Maharashtra,19.1200,72.8500
400088,Mumbai,Maharashtra,19.1500,72.8800
400089,Mumbai,Maharashtra,19.1300,72.8600
400091,Mumbai,Maharashtra,19.1500,72.9000
400092,Mumbai,Maharashtra,19.1600,72.8400
400093,Mumbai,Maharashtra,19.1600,72.8600
400097,Mumbai,Maharashtra,19.2100,72.8500
400101,Mumbai,Maharashtra,19.1900,72.8500
400102,Mumbai,Maharashtra,19.2000,72.8600
400103,Mumbai,Maharashtra,19.2200,72.8800
400104,Mumbai,Maharashtra,19.2400,72.8500
410001,Pune,Maharashtra,18.5204,73.8567
410206,Navi Mumbai,Maharashtra,19.0330,73.0297
410210,Navi Mumbai,Maharashtra,19.0400,73.0400
411001,Pune,Maharashtra,18.5204,73.8567
411002,Pune,Maharashtra,18.5300,73.8600
411003,Pune,Maharashtra,18.5100,73.8500
411004,Pune,Maharashtra,18.5400,73.8700
411005,Pune,Maharashtra,18.5000,73.8400
411006,Pune,Maharashtra,18.5500,73.8800
411007,Pune,Maharashtra,18.4900,73.8300
411008,Pune,Maharashtra,18.5600,73.8900
411009,Pune,Maharashtra,18.4800,73.8200
411011,Pune,Maharashtra,18.4700,73.8100
411014,Pune,Maharashtra,18.5200,73.8800
411016,Pune,Maharashtra,18.5100,73.8900
411017,Pune,Maharashtra,18.5000,73.9000
411018,Pune,Maharashtra,18.4900,73.9100
411019,Pune,Maharashtra,18.4800,73.9200
411020,Pune,Maharashtra,18.4700,73.8900
411021,Pune,Maharashtra,18.5600,73.9100
411027,Pune,Maharashtra,18.5700,73.8100
411028,Pune,Maharashtra,18.5800,73.8200
411030,Pune,Maharashtra,18.5900,73.8300
411032,Pune,Maharashtra,18.6000,73.8400
411033,Pune,Maharashtra,18.5800,73.8400
411035,Pune,Maharashtra,18.5700,73.8500
411036,Pune,Maharashtra,18.5600,73.8600
411037,Pune,Maharashtra,18.5500,73.8400
411038,Pune,Maharashtra,18.5400,73.8300
411039,Pune,Maharashtra,18.5300,73.8200
411040,Pune,Maharashtra,18.5200,73.8100
411041,Pune,Maharashtra,18.5100,73.8000
411042,Pune,Maharashtra,18.5300,73.9000
411043,Pune,Maharashtra,18.5400,73.9100
411044,Pune,Maharashtra,18.5000,73.8700
411045,Pune,Maharashtra,18.4800,73.8800
411046,Pune,Maharashtra,18.5500,73.9200
411047,Pune,Maharashtra,18.4700,73.8700
411048,Pune,Maharashtra,18.5600,73.9300
412001,Pune,Maharashtra,18.5100,73.8700
412105,Pune,Maharashtra,18.5200,73.9200
416001,Kolhapur,Maharashtra,16.7050,74.2433
422001,Nashik,Maharashtra,20.0063,73.7903
422003,Nashik,Maharashtra,20.0100,73.8000
422005,Nashik,Maharashtra,19.9900,73.7800
422010,Nashik,Maharashtra,19.9800,73.7700
431001,Aurangabad,Maharashtra,19.8762,75.3433
431002,Aurangabad,Maharashtra,19.8800,75.3500
431005,Aurangabad,Maharashtra,19.8700,75.3400
440001,Nagpur,Maharashtra,21.1458,79.0882
440002,Nagpur,Maharashtra,21.1500,79.0900
440003,Nagpur,Maharashtra,21.1400,79.0800
440004,Nagpur,Maharashtra,21.1600,79.1000
440006,Nagpur,Maharashtra,21.1300,79.0700
440008,Nagpur,Maharashtra,21.1700,79.1100
440009,Nagpur,Maharashtra,21.1200,79.0600
440010,Nagpur,Maharashtra,21.1800,79.1200
440012,Nagpur,Maharashtra,21.1900,79.1300
440013,Nagpur,Maharashtra,21.1100,79.0500
440014,Nagpur,Maharashtra,21.2000,79.1400
440015,Nagpur,Maharashtra,21.1000,79.0400
440017,Nagpur,Maharashtra,21.2100,79.1500
440018,Nagpur,Maharashtra,21.0900,79.0300
440019,Nagpur,Maharashtra,21.2200,79.1600
440022,Nagpur,Maharashtra,21.0800,79.0200
440024,Nagpur,Maharashtra,21.2300,79.1700
440025,Nagpur,Maharashtra,21.0700,79.0100
440027,Nagpur,Maharashtra,21.1600,79.0800
440030,Nagpur,Maharashtra,21.1700,79.0600
440032,Nagpur,Maharashtra,21.1500,79.1100
440033,Nagpur,Maharashtra,21.1400,79.1200
440034,Nagpur,Maharashtra,21.1300,79.1300
440035,Nagpur,Maharashtra,21.1200,79.1400
440036,Nagpur,Maharashtra,21.1100,79.1500
442001,Wardha,Maharashtra,20.7453,78.6022
444001,Akola,Maharashtra,20.7002,77.0082
445001,Yavatmal,Maharashtra,20.3899,78.1307
450001,Khandwa,Madhya Pradesh,21.8243,76.3521
451001,Khargone,Madhya Pradesh,21.8239,75.6163
452001,Indore,Madhya Pradesh,22.7196,75.8577
452002,Indore,Madhya Pradesh,22.7200,75.8600
452003,Indore,Madhya Pradesh,22.7100,75.8500
452004,Indore,Madhya Pradesh,22.7300,75.8700
452005,Indore,Madhya Pradesh,22.7000,75.8400
452006,Indore,Madhya Pradesh,22.7400,75.8800
452007,Indore,Madhya Pradesh,22.6900,75.8300
452009,Indore,Madhya Pradesh,22.7500,75.8900
452010,Indore,Madhya Pradesh,22.6800,75.8200
452011,Indore,Madhya Pradesh,22.7600,75.9000
452012,Indore,Madhya Pradesh,22.6700,75.8100
457001,Ratlam,Madhya Pradesh,23.3315,75.0367
458001,Mandsaur,Madhya Pradesh,24.0711,75.0724
460001,Betul,Madhya Pradesh,21.9100,77.9000
461001,Hoshangabad,Madhya Pradesh,22.7547,77.7314
462001,Bhopal,Madhya Pradesh,23.2599,77.4126
462002,Bhopal,Madhya Pradesh,23.2600,77.4200
462003,Bhopal,Madhya Pradesh,23.2500,77.4000
462010,Bhopal,Madhya Pradesh,23.2700,77.4300
462011,Bhopal,Madhya Pradesh,23.2400,77.3900
462016,Bhopal,Madhya Pradesh,23.2800,77.4400
462020,Bhopal,Madhya Pradesh,23.2300,77.3800
462021,Bhopal,Madhya Pradesh,23.2900,77.4500
462023,Bhopal,Madhya Pradesh,23.2200,77.3700
462024,Bhopal,Madhya Pradesh,23.3000,77.4600
462026,Bhopal,Madhya Pradesh,23.2100,77.3600
462030,Bhopal,Madhya Pradesh,23.3100,77.4700
462033,Bhopal,Madhya Pradesh,23.2000,77.3500
462036,Bhopal,Madhya Pradesh,23.3200,77.4800
462038,Bhopal,Madhya Pradesh,23.1900,77.3400
462039,Bhopal,Madhya Pradesh,23.3300,77.4900
462041,Bhopal,Madhya Pradesh,23.1800,77.3300
462042,Bhopal,Madhya Pradesh,23.3400,77.5000
462043,Bhopal,Madhya Pradesh,23.1700,77.3200
462044,Bhopal,Madhya Pradesh,23.3500,77.5100
462045,Bhopal,Madhya Pradesh,23.1600,77.3100
462046,Bhopal,Madhya Pradesh,23.3600,77.5200
462047,Bhopal,Madhya Pradesh,23.1500,77.3000
470001,Sagar,Madhya Pradesh,23.8388,78.7378
473001,Guna,Madhya Pradesh,24.6466,77.3119
474001,Gwalior,Madhya Pradesh,26.2183,78.1828
474002,Gwalior,Madhya Pradesh,26.2200,78.1900
474003,Gwalior,Madhya Pradesh,26.2100,78.1700
474005,Gwalior,Madhya Pradesh,26.2300,78.2000
474009,Gwalior,Madhya Pradesh,26.2000,78.1600
474011,Gwalior,Madhya Pradesh,26.2400,78.2100
480001,Chhindwara,Madhya Pradesh,22.0574,78.9382
482001,Jabalpur,Madhya Pradesh,23.1815,79.9864
482002,Jabalpur,Madhya Pradesh,23.1900,79.9900
482003,Jabalpur,Madhya Pradesh,23.1700,79.9800
482004,Jabalpur,Madhya Pradesh,23.2000,80.0000
482005,Jabalpur,Madhya Pradesh,23.1600,79.9700
484001,Shahdol,Madhya Pradesh,23.2988,81.3552
486001,Rewa,Madhya Pradesh,24.5373,81.2983
488001,Panna,Madhya Pradesh,24.7274,80.1842
490001,Durg,Chhattisgarh,21.1904,81.2849
490006,Bhilai,Chhattisgarh,21.2094,81.3784
490009,Bhilai,Chhattisgarh,21.2100,81.3800
490020,Durg,Chhattisgarh,21.1900,81.2800
492001,Raipur,Chhattisgarh,21.2514,81.6296
492007,Raipur,Chhattisgarh,21.2600,81.6300
492009,Raipur,Chhattisgarh,21.2400,81.6200
495001,Bilaspur,Chhattisgarh,22.0796,82.1391
497001,Korba,Chhattisgarh,22.3595,82.7501
500001,Hyderabad,Telangana,17.3850,78.4867
500002,Hyderabad,Telangana,17.3900,78.4900
500003,Hyderabad,Telangana,17.3800,78.4800
500004,Hyderabad,Telangana,17.3700,78.4700
500005,Hyderabad,Telangana,17.4000,78.5000
500006,Hyderabad,Telangana,17.3600,78.4600
500007,Hyderabad,Telangana,17.4100,78.5100
500008,Hyderabad,Telangana,17.3500,78.4500
500009,Hyderabad,Telangana,17.4200,78.5200
500010,Hyderabad,Telangana,17.3400,78.4400
500012,Hyderabad,Telangana,17.4300,78.5300
500013,Hyderabad,Telangana,17.3900,78.4600
500016,Hyderabad,Telangana,17.4000,78.4700
500017,Hyderabad,Telangana,17.4100,78.4800
500018,Hyderabad,Telangana,17.3800,78.4900
500020,Hyderabad,Telangana,17.3700,78.5000
500024,Hyderabad,Telangana,17.3600,78.5100
500025,Hyderabad,Telangana,17.4200,78.4900
500026,Hyderabad,Telangana,17.4300,78.4800
500027,Hyderabad,Telangana,17.3500,78.5200
500028,Hyderabad,Telangana,17.4400,78.4700
500029,Hyderabad,Telangana,17.4500,78.4600
500030,Hyderabad,Telangana,17.4600,78.4500
500032,Hyderabad,Telangana,17.3400,78.5300
500033,Hyderabad,Telangana,17.4400,78.5400
500034,Hyderabad,Telangana,17.4500,78.5500
500035,Hyderabad,Telangana,17.3300,78.5400
500036,Hyderabad,Telangana,17.4100,78.4500
500038,Hyderabad,Telangana,17.4200,78.4400
500040,Hyderabad,Telangana,17.4300,78.4300
500044,Hyderabad,Telangana,17.3600,78.5500
500045,Hyderabad,Telangana,17.4600,78.4400
500046,Hyderabad,Telangana,17.4700,78.4300
500047,Hyderabad,Telangana,17.3500,78.5600
500048,Hyderabad,Telangana,17.3800,78.5200
500049,Hyderabad,Telangana,17.4800,78.3900
500050,Hyderabad,Telangana,17.3700,78.5300
500051,Hyderabad,Telangana,17.3600,78.5400
500054,Hyderabad,Telangana,17.3400,78.5500
500055,Hyderabad,Telangana,17.3300,78.5600
500056,Hyderabad,Telangana,17.3200,78.5700
500058,Hyderabad,Telangana,17.3100,78.5800
500059,Hyderabad,Telangana,17.4900,78.3800
500060,Hyderabad,Telangana,17.5000,78.3700
500062,Hyderabad,Telangana,17.3000,78.5900
500063,Hyderabad,Telangana,17.4100,78.5600
500064,Hyderabad,Telangana,17.4200,78.5700
500068,Hyderabad,Telangana,17.4300,78.5800
500072,Hyderabad,Telangana,17.4400,78.5900
500073,Hyderabad,Telangana,17.2900,78.6000
